id,generic_name,status,therapeutic_category,dosage_form,company_name,initial_posting_date,brand_name,route
1481,Clindamycin Phosphate Injection,Current,Anti-Infective,Injection,Pfizer Inc.,03/21/2023,CLEOCIN PHOSPHATE,"INTRAMUSCULAR, INTRAVENOUS"
1482,"Calcium Chloride; Dextrose; Magnesium Chloride; Sodium Chloride; Sodium Lactate Intraperitoneal Injection, Solution",To Be Discontinued,Renal,Solution,Vantive US Healthcare LLC,08/03/2026,DIANEAL PD-2 WITH DEXTROSE,INTRAPERITONEAL
1483,Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,Injection,Gland Pharma Limited,06/06/2018,KETOROLAC TROMETHAMINE,"INTRAMUSCULAR, INTRAVENOUS"
1484,Clindamycin Phosphate Injection,Current,Anti-Infective,Injection,Sandoz Inc.,03/21/2023,CLINDAMYCIN IN 5 PERCENT DEXTROSE,INTRAVENOUS
1485,Omeprazole Delayed Release Capsule,To Be Discontinued,Gastroenterology,,Sandoz Inc.,10/09/2025,OMEPRAZOLE,ORAL
1486,Everolimus Tablet,To Be Discontinued,Transplant,Tablet,"Teva Pharmaceuticals USA, Inc.",03/02/2026,EVEROLIMUS,ORAL
1487,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,Rubicon Research Private Limited,03/10/2023,CLONAZEPAM,ORAL
1488,Clonazepam Tablet,Current,"Neurology, Pediatric, Psychiatry",Tablet,Rubicon Research Private Limited,03/10/2023,CLONAZEPAM,ORAL
1489,Lasmiditan Succinate Tablet,To Be Discontinued,Neurology,Tablet,Eli Lilly and Co.,11/03/2025,REYVOW,ORAL
1490,Desipramine Hydrochloride Tablet,To Be Discontinued,Psychiatry,Tablet,"Avet Pharmaceuticals, Inc.",08/12/2025,DESIPRAMINE HYDROCHLORIDE,ORAL
1491,Pilocarpine Hydrochloride Ophthalmic Solution,To Be Discontinued,Ophthalmology,Ophthalmic Solution,AbbVie Inc.,03/24/2026,VUITY,OPHTHALMIC
1492,Fentanyl Citrate Injection,Current,"Analgesia/Addiction, Pediatric",Injection,"Hospira, Inc., a Pfizer Company",01/01/2012,FENTANYL CITRATE,"INTRAMUSCULAR, INTRAVENOUS"
